Year,maxDHW,RCP,Reef
2021,0,2.6,Moore
2022,1.512144238,2.6,Moore
2023,3.887686471,2.6,Moore
2024,7.362176317,2.6,Moore
2025,0.634269925,2.6,Moore
2026,0.634269925,2.6,Moore
2027,4.2716143,2.6,Moore
2028,9.092389653,2.6,Moore
2029,0,2.6,Moore
2030,9.560760704,2.6,Moore
2031,2.228114185,2.6,Moore
2032,1.800401775,2.6,Moore
2033,1.327051937,2.6,Moore
2034,3.815031329,2.6,Moore
2035,0,2.6,Moore
2036,0,2.6,Moore
2037,0,2.6,Moore
2038,11.35459013,2.6,Moore
2039,0.448065463,2.6,Moore
2040,0.806561789,2.6,Moore
2041,0,2.6,Moore
2042,10.5829132,2.6,Moore
2043,1.029148329,2.6,Moore
2044,5.842040104,2.6,Moore
2045,0,2.6,Moore
2046,2.196099659,2.6,Moore
2047,0,2.6,Moore
2048,6.754322163,2.6,Moore
2049,9.615484827,2.6,Moore
2050,1.48926837,2.6,Moore
2051,13.28703966,2.6,Moore
2052,15.71211948,2.6,Moore
2053,12.38543003,2.6,Moore
2054,1.584156778,2.6,Moore
2055,2.443130328,2.6,Moore
2056,8.198397364,2.6,Moore
2057,0.473813085,2.6,Moore
2058,0.14734826,2.6,Moore
2059,3.992042316,2.6,Moore
2060,19.51512617,2.6,Moore
2061,8.125477923,2.6,Moore
2062,2.242828301,2.6,Moore
2063,0.625174969,2.6,Moore
2064,7.732469252,2.6,Moore
2065,1.864217266,2.6,Moore
2066,6.720279282,2.6,Moore
2067,12.85190997,2.6,Moore
2068,1.85172915,2.6,Moore
2069,4.847642932,2.6,Moore
2070,0,2.6,Moore
2071,2.768822061,2.6,Moore
2072,7.464452547,2.6,Moore
2073,5.639103879,2.6,Moore
2074,5.526294442,2.6,Moore
2075,3.979685282,2.6,Moore
2076,0.917920476,2.6,Moore
2077,1.62458012,2.6,Moore
2078,2.181434061,2.6,Moore
2079,7.052247741,2.6,Moore
2080,3.044310952,2.6,Moore
2081,18.1943295,2.6,Moore
2082,13.83162933,2.6,Moore
2083,1.923477729,2.6,Moore
2084,0,2.6,Moore
2085,0.308474151,2.6,Moore
2086,8.181532516,2.6,Moore
2087,1.909382923,2.6,Moore
2088,7.838874188,2.6,Moore
2089,4.944162671,2.6,Moore
2090,2.787409014,2.6,Moore
2091,6.145094998,2.6,Moore
2092,0.946842421,2.6,Moore
2093,4.804593688,2.6,Moore
2094,1.307703792,2.6,Moore
2095,7.157046766,2.6,Moore
2096,7.273121505,2.6,Moore
2097,3.644031631,2.6,Moore
2098,3.251484511,2.6,Moore
2099,5.304305298,2.6,Moore
2021,0.926486208,4.5,Moore
2022,8.742204942,4.5,Moore
2023,0,4.5,Moore
2024,0.147484151,4.5,Moore
2025,0.636942034,4.5,Moore
2026,0.14684254,4.5,Moore
2027,0,4.5,Moore
2028,2.085258556,4.5,Moore
2029,1.792990992,4.5,Moore
2030,4.393674626,4.5,Moore
2031,6.156208256,4.5,Moore
2032,4.102916148,4.5,Moore
2033,12.41181744,4.5,Moore
2034,0,4.5,Moore
2035,0.146631659,4.5,Moore
2036,10.52010387,4.5,Moore
2037,13.44065378,4.5,Moore
2038,0,4.5,Moore
2039,10.16219194,4.5,Moore
2040,0.496603715,4.5,Moore
2041,6.350069101,4.5,Moore
2042,0,4.5,Moore
2043,3.385515026,4.5,Moore
2044,5.161482785,4.5,Moore
2045,1.733060785,4.5,Moore
2046,2.650011342,4.5,Moore
2047,2.707304117,4.5,Moore
2048,0,4.5,Moore
2049,6.276927317,4.5,Moore
2050,4.227426254,4.5,Moore
2051,5.028869726,4.5,Moore
2052,13.14585536,4.5,Moore
2053,10.75779368,4.5,Moore
2054,2.644443032,4.5,Moore
2055,5.898313664,4.5,Moore
2056,6.570255718,4.5,Moore
2057,3.633434257,4.5,Moore
2058,6.642492401,4.5,Moore
2059,9.6349685,4.5,Moore
2060,1.922483104,4.5,Moore
2061,9.471759019,4.5,Moore
2062,3.0371015,4.5,Moore
2063,4.41570403,4.5,Moore
2064,13.6595098,4.5,Moore
2065,3.571962193,4.5,Moore
2066,10.055209,4.5,Moore
2067,4.758696827,4.5,Moore
2068,8.290539457,4.5,Moore
2069,9.85435263,4.5,Moore
2070,3.254267282,4.5,Moore
2071,20.76804024,4.5,Moore
2072,10.12786808,4.5,Moore
2073,4.470969565,4.5,Moore
2074,17.89141688,4.5,Moore
2075,24.65131544,4.5,Moore
2076,9.644672898,4.5,Moore
2077,14.46186941,4.5,Moore
2078,9.787391245,4.5,Moore
2079,8.544205079,4.5,Moore
2080,11.42264074,4.5,Moore
2081,22.76725346,4.5,Moore
2082,7.027462565,4.5,Moore
2083,18.96640752,4.5,Moore
2084,6.27741816,4.5,Moore
2085,26.12858594,4.5,Moore
2086,18.80129379,4.5,Moore
2087,21.46230089,4.5,Moore
2088,8.161229644,4.5,Moore
2089,18.89316201,4.5,Moore
2090,20.58092262,4.5,Moore
2091,4.81163453,4.5,Moore
2092,21.06082075,4.5,Moore
2093,10.04853539,4.5,Moore
2094,25.78535823,4.5,Moore
2095,17.17095796,4.5,Moore
2096,10.99202195,4.5,Moore
2097,9.386433487,4.5,Moore
2098,1.274219043,4.5,Moore
2099,10.84617145,4.5,Moore
2021,0.60969159,6,Moore
2022,1.694913048,6,Moore
2023,0.149449483,6,Moore
2024,2.986361375,6,Moore
2025,0,6,Moore
2026,1.237952778,6,Moore
2027,12.76584245,6,Moore
2028,3.815505184,6,Moore
2029,0.443095457,6,Moore
2030,4.494252749,6,Moore
2031,0.149238732,6,Moore
2032,1.855620702,6,Moore
2033,0,6,Moore
2034,0,6,Moore
2035,0.697922268,6,Moore
2036,0,6,Moore
2037,0,6,Moore
2038,0.75896039,6,Moore
2039,7.046579132,6,Moore
2040,0.597749104,6,Moore
2041,14.84819181,6,Moore
2042,11.19519746,6,Moore
2043,7.230803815,6,Moore
2044,3.775825725,6,Moore
2045,12.35452595,6,Moore
2046,0.460023994,6,Moore
2047,0.32119598,6,Moore
2048,7.33772923,6,Moore
2049,0.888448226,6,Moore
2050,2.397231261,6,Moore
2051,1.871654317,6,Moore
2052,6.565390043,6,Moore
2053,4.12405201,6,Moore
2054,0.756096547,6,Moore
2055,0.145718491,6,Moore
2056,2.691789314,6,Moore
2057,4.256027054,6,Moore
2058,10.78642586,6,Moore
2059,18.56706716,6,Moore
2060,16.10532743,6,Moore
2061,7.225966111,6,Moore
2062,6.337740721,6,Moore
2063,12.75408047,6,Moore
2064,2.21941221,6,Moore
2065,13.23625456,6,Moore
2066,13.83704904,6,Moore
2067,14.50626669,6,Moore
2068,4.625772714,6,Moore
2069,0.15491291,6,Moore
2070,1.013498295,6,Moore
2071,4.945120684,6,Moore
2072,11.60843962,6,Moore
2073,16.34323133,6,Moore
2074,6.5858512,6,Moore
2075,14.81510068,6,Moore
2076,8.008777742,6,Moore
2077,4.935420919,6,Moore
2078,15.00171378,6,Moore
2079,13.32577083,6,Moore
2080,16.6910333,6,Moore
2081,16.27328791,6,Moore
2082,19.09519753,6,Moore
2083,17.95696315,6,Moore
2084,10.19600689,6,Moore
2085,19.32199974,6,Moore
2086,9.583279013,6,Moore
2087,21.26837501,6,Moore
2088,13.47183395,6,Moore
2089,17.2998238,6,Moore
2090,15.48392382,6,Moore
2091,17.94106312,6,Moore
2092,12.17913408,6,Moore
2093,11.97976652,6,Moore
2094,7.556947307,6,Moore
2095,26.35423553,6,Moore
2096,23.10472381,6,Moore
2097,14.08422619,6,Moore
2098,19.35807071,6,Moore
2099,7.728850749,6,Moore
2021,0,8.5,Moore
2022,2.222541898,8.5,Moore
2023,2.319219074,8.5,Moore
2024,0.151424537,8.5,Moore
2025,0,8.5,Moore
2026,1.63088739,8.5,Moore
2027,12.08511715,8.5,Moore
2028,1.693770255,8.5,Moore
2029,11.370354,8.5,Moore
2030,9.944328815,8.5,Moore
2031,1.657285485,8.5,Moore
2032,9.014427413,8.5,Moore
2033,6.353155106,8.5,Moore
2034,8.294528135,8.5,Moore
2035,1.976017581,8.5,Moore
2036,4.540397924,8.5,Moore
2037,12.11419792,8.5,Moore
2038,11.96346292,8.5,Moore
2039,0.298857113,8.5,Moore
2040,1.318871967,8.5,Moore
2041,1.487401783,8.5,Moore
2042,13.80222135,8.5,Moore
2043,13.16916592,8.5,Moore
2044,11.43876981,8.5,Moore
2045,2.708005838,8.5,Moore
2046,13.29438307,8.5,Moore
2047,10.55959861,8.5,Moore
2048,14.95596502,8.5,Moore
2049,20.06981581,8.5,Moore
2050,3.349519434,8.5,Moore
2051,8.48803167,8.5,Moore
2052,19.83870382,8.5,Moore
2053,26.10134421,8.5,Moore
2054,19.43356369,8.5,Moore
2055,16.66765025,8.5,Moore
2056,14.92035541,8.5,Moore
2057,21.34806075,8.5,Moore
2058,15.71776308,8.5,Moore
2059,23.25011827,8.5,Moore
2060,16.08804172,8.5,Moore
2061,10.3710981,8.5,Moore
2062,19.14980236,8.5,Moore
2063,23.29956176,8.5,Moore
2064,26.39060812,8.5,Moore
2065,20.3712796,8.5,Moore
2066,5.730119451,8.5,Moore
2067,19.07578304,8.5,Moore
2068,23.02524167,8.5,Moore
2069,25.58175279,8.5,Moore
2070,29.16312486,8.5,Moore
2071,26.30436392,8.5,Moore
2072,22.791734,8.5,Moore
2073,22.41939492,8.5,Moore
2074,21.65150308,8.5,Moore
2075,29.1986046,8.5,Moore
2076,15.15408064,8.5,Moore
2077,24.84532127,8.5,Moore
2078,30.01443391,8.5,Moore
2079,26.10670048,8.5,Moore
2080,23.24996394,8.5,Moore
2081,29.76446,8.5,Moore
2082,27.35542921,8.5,Moore
2083,27.66451995,8.5,Moore
2084,21.81307008,8.5,Moore
2085,33.16194762,8.5,Moore
2086,30.3706287,8.5,Moore
2087,26.2066127,8.5,Moore
2088,16.6068897,8.5,Moore
2089,30.72840578,8.5,Moore
2090,30.25662422,8.5,Moore
2091,21.97052581,8.5,Moore
2092,32.70782353,8.5,Moore
2093,27.56858785,8.5,Moore
2094,34.05219751,8.5,Moore
2095,33.5450169,8.5,Moore
2096,31.23108388,8.5,Moore
2097,25.77113442,8.5,Moore
2098,35.63001838,8.5,Moore
2099,40.31039797,8.5,Moore
2021,0,2.6,Milln
2022,1.577888487,2.6,Milln
2023,4.001527753,2.6,Milln
2024,7.863918,2.6,Milln
2025,0.66714205,2.6,Milln
2026,0.815658809,2.6,Milln
2027,4.365528962,2.6,Milln
2028,9.286009369,2.6,Milln
2029,0,2.6,Milln
2030,9.659504935,2.6,Milln
2031,2.26978764,2.6,Milln
2032,2.110435239,2.6,Milln
2033,1.630104243,2.6,Milln
2034,4.174837643,2.6,Milln
2035,0,2.6,Milln
2036,0,2.6,Milln
2037,0,2.6,Milln
2038,12.12003923,2.6,Milln
2039,0.45300241,2.6,Milln
2040,0.972167494,2.6,Milln
2041,0,2.6,Milln
2042,11.34354682,2.6,Milln
2043,1.039022224,2.6,Milln
2044,5.952181354,2.6,Milln
2045,0,2.6,Milln
2046,2.396216507,2.6,Milln
2047,0,2.6,Milln
2048,7.689856025,2.6,Milln
2049,9.85696441,2.6,Milln
2050,1.960794767,2.6,Milln
2051,14.60671049,2.6,Milln
2052,16.34362629,2.6,Milln
2053,12.77956802,2.6,Milln
2054,1.892408432,2.6,Milln
2055,2.624712962,2.6,Milln
2056,8.279923541,2.6,Milln
2057,0.487106086,2.6,Milln
2058,0.292647242,2.6,Milln
2059,4.043819002,2.6,Milln
2060,20.43268952,2.6,Milln
2061,8.561671715,2.6,Milln
2062,3.635891969,2.6,Milln
2063,0.642898969,2.6,Milln
2064,8.280716842,2.6,Milln
2065,1.882319407,2.6,Milln
2066,7.367477084,2.6,Milln
2067,14.21762259,2.6,Milln
2068,2.346408386,2.6,Milln
2069,4.908787566,2.6,Milln
2070,0,2.6,Milln
2071,3.100989246,2.6,Milln
2072,7.544609687,2.6,Milln
2073,5.856895008,2.6,Milln
2074,6.743435739,2.6,Milln
2075,4.403331641,2.6,Milln
2076,0.927794371,2.6,Milln
2077,1.800266923,2.6,Milln
2078,2.810078628,2.6,Milln
2079,7.291294791,2.6,Milln
2080,3.16758142,2.6,Milln
2081,18.71144964,2.6,Milln
2082,14.05924605,2.6,Milln
2083,2.10369559,2.6,Milln
2084,0,2.6,Milln
2085,0.317336151,2.6,Milln
2086,8.290406257,2.6,Milln
2087,2.102167542,2.6,Milln
2088,8.296921644,2.6,Milln
2089,5.304735188,2.6,Milln
2090,2.963102945,2.6,Milln
2091,6.843190862,2.6,Milln
2092,0.956716316,2.6,Milln
2093,5.358102706,2.6,Milln
2094,1.467394863,2.6,Milln
2095,7.513185235,2.6,Milln
2096,7.618248771,2.6,Milln
2097,3.823810771,2.6,Milln
2098,3.473587162,2.6,Milln
2099,5.529393343,2.6,Milln
2021,0.953072209,4.5,Milln
2022,8.870190393,4.5,Milln
2023,0,4.5,Milln
2024,0.155702182,4.5,Milln
2025,0.662240097,4.5,Milln
2026,0.148488189,4.5,Milln
2027,0,4.5,Milln
2028,2.112222697,4.5,Milln
2029,2.119316418,4.5,Milln
2030,4.99205778,4.5,Milln
2031,7.282230074,4.5,Milln
2032,4.154286089,4.5,Milln
2033,12.71998216,4.5,Milln
2034,0,4.5,Milln
2035,0.151062659,4.5,Milln
2036,11.38990961,4.5,Milln
2037,14.0590844,4.5,Milln
2038,0,4.5,Milln
2039,11.43327515,4.5,Milln
2040,0.814883504,4.5,Milln
2041,6.796203927,4.5,Milln
2042,0,4.5,Milln
2043,4.035530802,4.5,Milln
2044,5.502269812,4.5,Milln
2045,2.369514321,4.5,Milln
2046,3.004126645,4.5,Milln
2047,3.247685066,4.5,Milln
2048,0,4.5,Milln
2049,6.805036182,4.5,Milln
2050,4.601798504,4.5,Milln
2051,6.763534108,4.5,Milln
2052,13.55915756,4.5,Milln
2053,12.02917493,4.5,Milln
2054,2.684470838,4.5,Milln
2055,6.289890959,4.5,Milln
2056,6.789081608,4.5,Milln
2057,4.141104937,4.5,Milln
2058,7.574016451,4.5,Milln
2059,10.39164842,4.5,Milln
2060,2.260310876,4.5,Milln
2061,9.835448024,4.5,Milln
2062,3.459652217,4.5,Milln
2063,5.020679157,4.5,Milln
2064,14.24955962,4.5,Milln
2065,3.761631277,4.5,Milln
2066,10.46813221,4.5,Milln
2067,5.429391008,4.5,Milln
2068,9.096261899,4.5,Milln
2069,10.52219945,4.5,Milln
2070,3.660112038,4.5,Milln
2071,21.34840484,4.5,Milln
2072,10.9652918,4.5,Milln
2073,4.970386092,4.5,Milln
2074,18.54374855,4.5,Milln
2075,25.04452074,4.5,Milln
2076,10.21650147,4.5,Milln
2077,14.99033783,4.5,Milln
2078,10.12535681,4.5,Milln
2079,8.802490588,4.5,Milln
2080,12.384877,4.5,Milln
2081,23.16008351,4.5,Milln
2082,7.508189725,4.5,Milln
2083,19.50154444,4.5,Milln
2084,6.940984556,4.5,Milln
2085,26.51953976,4.5,Milln
2086,19.3009064,4.5,Milln
2087,21.85494332,4.5,Milln
2088,9.221306464,4.5,Milln
2089,19.28655494,4.5,Milln
2090,21.15946373,4.5,Milln
2091,5.370498524,4.5,Milln
2092,21.58880863,4.5,Milln
2093,10.99687537,4.5,Milln
2094,26.17743779,4.5,Milln
2095,18.12601282,4.5,Milln
2096,11.29433861,4.5,Milln
2097,9.668327413,4.5,Milln
2098,1.309667045,4.5,Milln
2099,11.24374596,4.5,Milln
2021,0.905146156,6,Milln
2022,2.180512023,6,Milln
2023,0.30873047,6,Milln
2024,3.014337411,6,Milln
2025,0,6,Milln
2026,1.301223361,6,Milln
2027,13.3670261,6,Milln
2028,3.882348327,6,Milln
2029,0.448032404,6,Milln
2030,4.715448927,6,Milln
2031,0.299644675,6,Milln
2032,2.753062647,6,Milln
2033,0,6,Milln
2034,0,6,Milln
2035,0.704504864,6,Milln
2036,0,6,Milln
2037,0,6,Milln
2038,0.936452456,6,Milln
2039,7.786479233,6,Milln
2040,0.777114158,6,Milln
2041,15.58961197,6,Milln
2042,12.52097283,6,Milln
2043,7.374945823,6,Milln
2044,3.974561726,6,Milln
2045,13.39976555,6,Milln
2046,0.464960941,6,Milln
2047,0.486912454,6,Milln
2048,7.600406264,6,Milln
2049,1.058212359,6,Milln
2050,3.434516513,6,Milln
2051,2.06768053,6,Milln
2052,6.837499272,6,Milln
2053,4.212544207,6,Milln
2054,0.767110143,6,Milln
2055,0.296816962,6,Milln
2056,2.927630012,6,Milln
2057,4.618345586,6,Milln
2058,11.05287297,6,Milln
2059,19.0919985,6,Milln
2060,16.48207624,6,Milln
2061,7.358886184,6,Milln
2062,6.830941298,6,Milln
2063,14.3537008,6,Milln
2064,2.462770596,6,Milln
2065,14.00941535,6,Milln
2066,14.14552789,6,Milln
2067,14.97162736,6,Milln
2068,4.902850239,6,Milln
2069,0.159183882,6,Milln
2070,1.028942892,6,Milln
2071,5.63637696,6,Milln
2072,11.96421282,6,Milln
2073,16.85332265,6,Milln
2074,6.651526036,6,Milln
2075,16.03607365,6,Milln
2076,8.878099193,6,Milln
2077,5.39435819,6,Milln
2078,15.87507893,6,Milln
2079,13.65203894,6,Milln
2080,17.18462367,6,Milln
2081,16.63093096,6,Milln
2082,19.757194,6,Milln
2083,18.4830033,6,Milln
2084,10.67661793,6,Milln
2085,20.12760066,6,Milln
2086,10.22968283,6,Milln
2087,21.70931195,6,Milln
2088,13.6595559,6,Milln
2089,17.82061411,6,Milln
2090,15.85079688,6,Milln
2091,18.32747459,6,Milln
2092,13.14865906,6,Milln
2093,12.99996717,6,Milln
2094,7.956639743,6,Milln
2095,26.74462647,6,Milln
2096,23.496991,6,Milln
2097,15.13233087,6,Milln
2098,19.90807607,6,Milln
2099,8.565134301,6,Milln
2021,0,8.5,Milln
2022,2.29801538,8.5,Milln
2023,2.799551276,8.5,Milln
2024,0.153070186,8.5,Milln
2025,0,8.5,Milln
2026,2.106767562,8.5,Milln
2027,12.61541319,8.5,Milln
2028,2.070574622,8.5,Milln
2029,11.89767435,8.5,Milln
2030,10.08472551,8.5,Milln
2031,1.980665732,8.5,Milln
2032,9.373216858,8.5,Milln
2033,6.4659539,8.5,Milln
2034,8.572241293,8.5,Milln
2035,2.284586897,8.5,Milln
2036,5.1036193,8.5,Milln
2037,12.77476335,8.5,Milln
2038,12.73879596,8.5,Milln
2039,0.60350854,8.5,Milln
2040,1.777368876,8.5,Milln
2041,2.109399309,8.5,Milln
2042,13.96629088,8.5,Milln
2043,14.32010365,8.5,Milln
2044,12.1707867,8.5,Milln
2045,2.91750608,8.5,Milln
2046,13.9652462,8.5,Milln
2047,11.94066336,8.5,Milln
2048,15.51509248,8.5,Milln
2049,20.46737101,8.5,Milln
2050,3.652424853,8.5,Milln
2051,8.647869462,8.5,Milln
2052,20.22965764,8.5,Milln
2053,26.49379902,8.5,Milln
2054,20.22761583,8.5,Milln
2055,16.99267109,8.5,Milln
2056,15.26389912,8.5,Milln
2057,21.77554008,8.5,Milln
2058,16.70554161,8.5,Milln
2059,23.64238546,8.5,Milln
2060,16.93706327,8.5,Milln
2061,11.37183736,8.5,Milln
2062,19.89902792,8.5,Milln
2063,23.96498527,8.5,Milln
2064,26.78006095,8.5,Milln
2065,20.91860856,8.5,Milln
2066,6.30133868,8.5,Milln
2067,19.59113291,8.5,Milln
2068,23.59343299,8.5,Milln
2069,25.97401998,8.5,Milln
2070,29.55464155,8.5,Milln
2071,26.72179239,8.5,Milln
2072,23.25272166,8.5,Milln
2073,22.8116621,8.5,Milln
2074,22.31506482,8.5,Milln
2075,29.5918099,8.5,Milln
2076,15.86492408,8.5,Milln
2077,25.24685113,8.5,Milln
2078,30.47206581,8.5,Milln
2079,26.49765429,8.5,Milln
2080,23.64166825,8.5,Milln
2081,30.18321568,8.5,Milln
2082,27.74882213,8.5,Milln
2083,28.05697476,8.5,Milln
2084,22.49033888,8.5,Milln
2085,33.59289719,8.5,Milln
2086,30.76083202,8.5,Milln
2087,26.77612116,8.5,Milln
2088,17.36706573,8.5,Milln
2089,31.21619024,8.5,Milln
2090,30.67333484,8.5,Milln
2091,22.36260537,8.5,Milln
2092,33.10046596,8.5,Milln
2093,27.98376734,8.5,Milln
2094,34.68069396,8.5,Milln
2095,34.01873528,8.5,Milln
2096,31.64056304,8.5,Milln
2097,26.16377685,8.5,Milln
2098,36.03949754,8.5,Milln
2099,40.90874185,8.5,Milln
2021,0,2.6,Thetford
2022,1.521229711,2.6,Thetford
2023,3.901789088,2.6,Thetford
2024,7.353967797,2.6,Thetford
2025,0.638812662,2.6,Thetford
2026,0.638812662,2.6,Thetford
2027,4.281240505,2.6,Thetford
2028,9.113119982,2.6,Thetford
2029,0,2.6,Thetford
2030,9.569207656,2.6,Thetford
2031,2.227769313,2.6,Thetford
2032,1.802286865,2.6,Thetford
2033,1.328278522,2.6,Thetford
2034,3.964219416,2.6,Thetford
2035,0,2.6,Thetford
2036,0,2.6,Thetford
2037,0,2.6,Thetford
2038,11.35063758,2.6,Thetford
2039,0.44840631,2.6,Thetford
2040,0.808718156,2.6,Thetford
2041,0,2.6,Thetford
2042,10.56434795,2.6,Thetford
2043,1.029830025,2.6,Thetford
2044,5.85252747,2.6,Thetford
2045,0,2.6,Thetford
2046,2.201388555,2.6,Thetford
2047,0,2.6,Thetford
2048,6.746000027,2.6,Thetford
2049,9.610484149,2.6,Thetford
2050,1.492832173,2.6,Thetford
2051,13.29069261,2.6,Thetford
2052,15.70437187,2.6,Thetford
2053,12.39125022,2.6,Thetford
2054,1.585292938,2.6,Thetford
2055,2.446422854,2.6,Thetford
2056,8.205028797,2.6,Thetford
2057,0.475106905,2.6,Thetford
2058,0.147461876,2.6,Thetford
2059,3.99624377,2.6,Thetford
2060,19.54347872,2.6,Thetford
2061,8.138940158,2.6,Thetford
2062,2.240775165,2.6,Thetford
2063,0.626900062,2.6,Thetford
2064,7.735338479,2.6,Thetford
2065,1.865467042,2.6,Thetford
2066,6.715375378,2.6,Thetford
2067,12.84105634,2.6,Thetford
2068,2.000721268,2.6,Thetford
2069,4.852616508,2.6,Thetford
2070,0,2.6,Thetford
2071,2.770985595,2.6,Thetford
2072,7.324167378,2.6,Thetford
2073,5.642568401,2.6,Thetford
2074,5.530904972,2.6,Thetford
2075,3.97390996,2.6,Thetford
2076,0.918602172,2.6,Thetford
2077,1.627304566,2.6,Thetford
2078,2.183080727,2.6,Thetford
2079,7.060648312,2.6,Thetford
2080,3.061346214,2.6,Thetford
2081,18.22548181,2.6,Thetford
2082,13.83936181,2.6,Thetford
2083,1.926747064,2.6,Thetford
2084,0,2.6,Thetford
2085,0.309336697,2.6,Thetford
2086,8.191430949,2.6,Thetford
2087,1.91412693,2.6,Thetford
2088,7.852188424,2.6,Thetford
2089,4.947604002,2.6,Thetford
2090,2.789862184,2.6,Thetford
2091,6.156560389,2.6,Thetford
2092,0.947524117,2.6,Thetford
2093,4.808823495,2.6,Thetford
2094,1.308930377,2.6,Thetford
2095,7.151641119,2.6,Thetford
2096,7.270921984,2.6,Thetford
2097,3.646531182,2.6,Thetford
2098,3.255001155,2.6,Thetford
2099,5.304563694,2.6,Thetford
2021,0.929073848,4.5,Thetford
2022,8.604317542,4.5,Thetford
2023,0,4.5,Thetford
2024,0.148619835,4.5,Thetford
2025,0.640075949,4.5,Thetford
2026,0.146956156,4.5,Thetford
2027,0,4.5,Thetford
2028,2.087370878,4.5,Thetford
2029,1.79646437,4.5,Thetford
2030,4.386304655,4.5,Thetford
2031,6.306681422,4.5,Thetford
2032,4.104314728,4.5,Thetford
2033,12.42528684,4.5,Thetford
2034,0,4.5,Thetford
2035,0.147062932,4.5,Thetford
2036,10.5332044,4.5,Thetford
2037,13.46771687,4.5,Thetford
2038,0,4.5,Thetford
2039,10.16221836,4.5,Thetford
2040,0.500010768,4.5,Thetford
2041,6.366256218,4.5,Thetford
2042,0,4.5,Thetford
2043,3.392234549,4.5,Thetford
2044,5.165072114,4.5,Thetford
2045,1.731274095,4.5,Thetford
2046,2.651799646,4.5,Thetford
2047,2.702038494,4.5,Thetford
2048,0,4.5,Thetford
2049,6.284511723,4.5,Thetford
2050,4.231076458,4.5,Thetford
2051,5.014704404,4.5,Thetford
2052,13.16323887,4.5,Thetford
2053,10.78764102,4.5,Thetford
2054,2.643984543,4.5,Thetford
2055,5.907620827,4.5,Thetford
2056,6.576432688,4.5,Thetford
2057,3.783667407,4.5,Thetford
2058,6.657039097,4.5,Thetford
2059,9.646608856,4.5,Thetford
2060,1.926098118,4.5,Thetford
2061,9.471824649,4.5,Thetford
2062,3.055272446,4.5,Thetford
2063,4.437825532,4.5,Thetford
2064,13.65601807,4.5,Thetford
2065,3.575799609,4.5,Thetford
2066,10.04824389,4.5,Thetford
2067,4.765082669,4.5,Thetford
2068,8.300522893,4.5,Thetford
2069,9.879877503,4.5,Thetford
2070,3.252548633,4.5,Thetford
2071,20.76401652,4.5,Thetford
2072,10.12815459,4.5,Thetford
2073,4.499361668,4.5,Thetford
2074,17.90593612,4.5,Thetford
2075,24.65878295,4.5,Thetford
2076,9.633059849,4.5,Thetford
2077,14.48764145,4.5,Thetford
2078,9.808352052,4.5,Thetford
2079,8.552907284,4.5,Thetford
2080,11.43349375,4.5,Thetford
2081,22.77797969,4.5,Thetford
2082,7.0488755,4.5,Thetford
2083,19.01328039,4.5,Thetford
2084,6.453981248,4.5,Thetford
2085,26.15560579,4.5,Thetford
2086,18.80433356,4.5,Thetford
2087,21.47465649,4.5,Thetford
2088,8.166300089,4.5,Thetford
2089,18.89900016,4.5,Thetford
2090,20.60458411,4.5,Thetford
2091,4.825349008,4.5,Thetford
2092,21.03471293,4.5,Thetford
2093,9.8872754,4.5,Thetford
2094,25.80260191,4.5,Thetford
2095,17.18059442,4.5,Thetford
2096,10.86090858,4.5,Thetford
2097,9.391890354,4.5,Thetford
2098,1.27766923,4.5,Thetford
2099,10.83802614,4.5,Thetford
2021,0.610146053,6,Thetford
2022,1.699930192,6,Thetford
2023,0.148955806,6,Thetford
2024,2.988292846,6,Thetford
2025,0,6,Thetford
2026,1.23492831,6,Thetford
2027,12.76070486,6,Thetford
2028,3.821498966,6,Thetford
2029,0.443436305,6,Thetford
2030,4.501132268,6,Thetford
